"No.","Time","Source","Destination","Protocol","Length","Info"
"45","0.000792","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"962","1.081555","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"1861","1.959228","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"2612","2.920280","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"3633","4.003045","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4325","4.959272","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4470","5.942589","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4495","6.958828","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4508","7.911662","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4534","8.947267","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4574","10.131009","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4586","10.927619","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4603","11.941870","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4616","14.130291","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4624","14.361399","10.113.133.19","10.113.133.11","MQTT","102","Ping Request, Publish Message [iot/sensor]"
"4625","14.361782","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"4634","14.973991","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4658","15.939881","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4692","16.936714","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4711","17.987851","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4721","18.948431","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4734","19.944399","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4749","20.939552","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4770","21.958647","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4783","22.951629","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4793","23.945259","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4805","25.011007","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4815","26.027382","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4828","26.948251","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4919","27.971257","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4967","28.952885","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4977","30.105804","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"4978","30.106108","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"4983","30.408310","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"4991","30.963753","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5051","31.991245","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5070","32.986808","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5083","33.966886","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5096","34.985397","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5108","36.038368","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5209","36.979374","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"5883","37.974116","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"7364","39.008648","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"8345","40.520171","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"8658","40.992566","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"9052","41.987972","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"9339","43.049712","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"9743","44.017102","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"10620","46.655222","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"10752","46.927598","10.113.133.19","10.113.133.11","MQTT","102","Ping Request, Publish Message [iot/sensor]"
"10753","46.928029","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"10816","47.032283","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"11186","48.012131","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"11353","49.086835","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"11781","50.045834","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"12133","51.027264","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"12572","52.292793","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"12756","53.060632","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"13100","54.029672","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"13453","55.113640","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"14081","56.038048","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"14895","57.014488","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"16115","58.058268","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"17353","59.048114","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"18324","60.028808","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"19614","61.164423","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"20822","62.062739","10.113.133.19","10.113.133.11","MQTT","56","Ping Request"
"20823","62.062962","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"20996","62.177953","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22218","63.053499","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22614","64.155486","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"22935","65.034696","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"23289","66.110626","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"23629","67.071474","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"24087","68.208778","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"24537","69.067721","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"25628","70.056858","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"26663","71.054102","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27587","72.036232","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27598","73.031044","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27635","74.076381","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"27724","75.054886","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"28877","76.098466","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"30896","78.598375","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"30961","79.101547","10.113.133.19","10.113.133.11","MQTT","102","Ping Request, Publish Message [iot/sensor]"
"30964","79.101935","10.113.133.11","10.113.133.19","MQTT","56","Ping Response"
"31052","79.486716","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"31221","80.054868","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
"31415","81.144880","10.113.133.19","10.113.133.11","MQTT","100","Publish Message [iot/sensor]"
